File,forward_pass,rmp_evaluationn,backward_pass,resolve
File_001a,4.53064751625061,0.5577824115753174,9.996206283569336,0.03853249549865723
File_160c,4.524431228637695,0.558807373046875,10.025388956069946,0.039754629135131836
File_160b,4.543707847595215,0.5561568737030029,9.952473640441895,0.0392308235168457
File_160a,4.560672760009766,0.5579218864440918,9.95048713684082,0.039086341857910156
File_140c,4.558089256286621,0.5563609600067139,10.991666793823242,0.05078387260437012
File_140b,4.54778265953064,0.5579619407653809,9.934993267059326,0.03873085975646973
File_140a,4.523202180862427,0.5517587661743164,9.969414234161377,0.03871917724609375
File_120c,4.608734369277954,0.5630397796630859,10.080488204956055,0.03921031951904297
File_120b,4.61022424697876,0.5622982978820801,10.102775573730469,0.039151906967163086
File_120a,4.5677900314331055,0.5551831722259521,10.1566321849823,0.0396265983581543
File_100c,4.578295469284058,0.5594782829284668,10.136078596115112,0.03980708122253418
File_100b,4.5600879192352295,0.565394401550293,10.066187381744385,0.038984060287475586
File_100a,4.527099609375,0.5533926486968994,10.055710792541504,0.03878355026245117
File_080c,4.533189058303833,0.568850040435791,9.90408205986023,0.03881263732910156
File_080b,4.542743444442749,0.555109977722168,10.04147458076477,0.038776397705078125
File_080a,4.579741716384888,0.5581908226013184,10.24885869026184,0.03976035118103027
File_060c,4.562588691711426,0.5546627044677734,10.124961137771606,0.03939032554626465
File_060b,4.533247232437134,0.5647845268249512,9.99873423576355,0.03904318809509277
File_060a,4.5518412590026855,0.5568239688873291,10.138083934783936,0.03967547416687012
File_040c,4.5882203578948975,0.5567123889923096,10.131166696548462,0.03977251052856445
File_040b,4.559860467910767,0.5554506778717041,10.095985174179077,0.03928828239440918
File_040a,4.620316028594971,0.5601379871368408,10.214461326599121,0.0393216609954834
File_020c,4.576141595840454,0.5578131675720215,10.17152738571167,0.03912663459777832
File_020b,4.613094329833984,0.5674765110015869,10.160088062286377,0.03971982002258301
File_020a,4.559322357177734,0.5609605312347412,10.216915845870972,0.04014396667480469
File_001c,4.643963098526001,0.5655145645141602,10.365629196166992,0.039786338806152344
File_001b,4.6435866355896,0.5582516193389893,10.207250356674194,0.04020118713378906
File_001a,4.66975736618042,0.5680131912231445,10.40855860710144,0.03944563865661621
